order_id,payment_sequential,payment_type,payment_installments,payment_value
76c6e866289321a7c93b82b54852dc33,1,boleto,1,35.95
53cdb2fc8bc7dce0b6741e2150273451,1,boleto,1,141.46
e481f51cbdc54678b7cc49136f2d6af7,1,credit_card,1,18.12
47770eb9100c2d0c44946d9cf07ec65d,1,credit_card,3,179.12
6514b8ad8028c9f2cc2374ded245783f,1,credit_card,3,75.16
ecab90c9933c58908d3d6add7c6f5ae3,1,credit_card,3,63.34
f70a0aff17df5a6cdd9a7196128bd354,1,boleto,1,313.19
e69bfb5eb88e0ed6a785585b27e16dbf,2,voucher,1,161.42
dcb36b511fcac050b97cd5c05de84dc3,1,credit_card,10,146.45
1e7aff52cdbb2451ace09d0f848c3699,1,credit_card,4,154.19
403b97836b0c04a622354cf531062e5f,1,credit_card,10,1376.45
e6ce16cb79ec1d90b1da9085a6118aeb,1,credit_card,1,259.06
949d5b44dbf5de918fe9c16f97b45f8a,1,credit_card,1,72.20
83018ec114eee8641c97e08f7b4e926f,2,voucher,1,62.15
5acce57f8d9dfd55fa48e212a641a69d,1,boleto,1,43.00
a4591c265e18cb1dcee52889e2d8acc3,1,credit_card,6,175.26
989225ba6d0ebd5873335f7e01de2ae7,1,credit_card,1,63.10
95266dbfb7e20354baba07964dac78d5,1,credit_card,3,187.57
83018ec114eee8641c97e08f7b4e926f,3,voucher,1,24.86
f3e7c359154d965827355f39d6b1fdac,1,boleto,1,104.11
7206b86ea789983f7a273ea7fa0bc2a8,1,credit_card,4,49.69
b276e4f8c0fb86bd82fce576f21713e0,1,credit_card,2,188.41
e481f51cbdc54678b7cc49136f2d6af7,3,voucher,1,2.00
fbf9ac61453ac646ce8ad9783d7d0af6,1,boleto,1,125.43
2807d0e504d6d4894d41672727bc139f,1,credit_card,1,17.28
434d158e96bdd6972ad6e6d73ddcfd22,1,boleto,1,508.17
8563039e855156e48fccee4d611a3196,1,credit_card,4,106.95
e69bfb5eb88e0ed6a785585b27e16dbf,1,credit_card,1,8.34
1790eea0b567cf50911c057cf20f90f9,1,credit_card,4,224.90
432aaf21d85167c2c86ec9448c4e42cc,1,credit_card,1,54.36
91b2a010e1e45e6ba3d133fa997597be,1,credit_card,8,192.68
34513ce0c4fab462a55830c0989c7edb,1,credit_card,1,114.13
203096f03d82e0dffbc41ebc2e2bcfb7,1,boleto,1,118.86
60550084e6b4c0cb89a87df1f3e5ebd9,1,boleto,1,66.79
5ff96c15d0b717ac6ad1f3d77225a350,1,credit_card,3,32.70
ad21c59c0840e6cb83a9ceb5573f8159,1,credit_card,1,28.62
f848643eec1d69395095eb3840d2051e,1,credit_card,4,88.90
acce194856392f074dbf9dada14d8d82,1,credit_card,10,227.68
e481f51cbdc54678b7cc49136f2d6af7,2,voucher,1,18.59
85ce859fd6dc634de8d2f1e290444043,1,credit_card,1,29.75
83018ec114eee8641c97e08f7b4e926f,1,credit_card,1,5.96
dd78f560c270f1909639c11b925620ea,1,credit_card,2,60.69
116f0b09343b49556bbad5f35bee0cdf,1,credit_card,4,43.09
82566a660a982b15fb86e904c8d32918,1,boleto,1,50.13
d887b52c6516beb39e8cd44a5f8b60f7,1,credit_card,1,100.25
