product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
87285b34884572647811a353c7ac498a,utilidades_domesticas,40,268,4,500,19,8,13
ac1789e492dcd698c5c10b97a671243a,moveis_decoracao,41,432,2,300,35,35,15
2b4609f8948be18874494203496bc318,beleza_saude,59,492,3,250,22,10,18
c7df652246ed7b3300aaf46960c141e4,beleza_saude,28,1455,1,683,29,15,22
2d8f2be4f08788ee3bf5356af2b2ee6c,climatizacao,52,331,4,100,27,13,17
6893767814d1ac82a81bcd365e1cc918,eletronicos,26,511,1,200,25,7,16
d70f38e7f79c630f8ea00c993897042c,bebes,53,233,1,10950,41,40,40
4520766ec412348b8d4caa5e8a18c464,automotivo,59,956,1,50,16,16,17
5ac9d9e379c606e36a8094a6046f75dc,beleza_saude,46,2345,6,525,21,16,13
72d3bf1d3a790f8874096fcf860e3eff,brinquedos,57,341,2,583,20,21,20
08574b074924071f4e201e151b152b4e,ferramentas_jardim,36,450,1,9000,42,12,39
9b37a918bcf2c8e1064e867cf1df4637,eletronicos,57,1710,6,1207,20,10,20
65266b2da20d04dbe00c5c2d3bb7859e,papelaria,38,316,4,250,51,15,15
00baba5b58e274d0332a0c8a0a66f877,perfumaria,27,406,4,200,18,7,12
aa4383b373c6aca5d8797843e5594415,automotivo,46,232,1,420,24,19,21
c0db539123a403f670c50237d970b215,ferramentas_jardim,56,1313,2,850,20,20,20
c6c1f263e076bd9c1f1640250a5d0c29,perfumaria,32,102,1,425,24,12,16
6b64362e89896be7589621df54be089e,moveis_decoracao,57,2435,2,3000,69,11,11
f7e0fa615b386bc9a8b9eb52bc1fff76,informatica_acessorios,59,2574,1,325,21,21,21
9451e630d725c4bb7a5a206b48b99486,bebes,52,300,1,350,31,10,12
ba74c6b75d2ad7503175809688d5a03c,relogios_presentes,59,1088,2,292,17,8,12
009c09f439988bc06a93d6b8186dce73,perfumaria,39,991,3,150,20,20,20
7b717060aa783eb7f23a747a3a733dd7,cool_stuff,46,595,2,500,16,12,22
060cb19345d90064d1015407193c233d,automotivo,49,608,1,7150,65,10,65
72a97c271b2e429974398f46b93ae530,perfumaria,59,685,1,450,16,17,16
a47295965bd091207681b541b26e40a5,telefonia,60,818,6,300,17,4,12
bb7181410b4e02f93f3697f765db53c7,bebes,36,1058,1,14950,77,20,53
595fac2a385ac33a80bd5114aec74eb8,perfumaria,29,178,1,400,19,13,19
bff2010b28e8fbcff5a9db9d3fea5ac4,ferramentas_jardim,58,769,6,850,90,20,20
c35498fbb4358837ae16850f50c3fd22,telefonia,59,973,1,325,19,8,22
cafd558df4c3c9d1c338ba6930ea9a62,bebes,45,1009,1,16450,44,70,32
638bbb2a5e4f360b71f332ddfebfd672,construcao_ferramentas_construcao,38,143,2,20850,100,25,50
0cd9f302c8a5b076ffa5c3567c6705fd,informatica_acessorios,22,716,2,200,36,2,28
e99d69efe684efaa643f99805f7c81bc,papelaria,56,115,1,600,33,13,25
cce679660c66e6fbd5c8091dfd29e9cd,cama_mesa_banho,43,125,1,250,40,4,30
9a469eaf45dfbc43d39ba1977a3c07af,cama_mesa_banho,44,192,1,700,40,4,30
9a78fb9862b10749a117f7fc3c31f051,moveis_escritorio,45,527,1,9750,42,41,42
10adb53d8faa890ca7c2f0cbcb68d777,cama_mesa_banho,52,155,1,200,16,10,16
d0b61bfb1de832b15ba9d266ca96e5b0,pet_shop,59,468,3,450,30,10,20
8c591ab0ca519558779df02023177f44,ferramentas_jardim,47,1893,1,6050,20,20,20
39a9942865c056ed2006a5e8c11d9537,brinquedos,47,556,5,800,37,14,37
